=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9763
Precisao media : 0.9755
Revocacao media: 0.9555
F1-Score medio : 0.9616

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 64 x 64 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.99      | 1.00      | 0.99      | 650      
1       | 0.97      | 1.00      | 0.99      | 200      
2       | 1.00      | 0.97      | 0.98      | 70       
3       | 0.98      | 0.94      | 0.96      | 300      
4       | 0.99      | 0.99      | 0.99      | 330      
5       | 0.98      | 0.97      | 0.97      | 80       
6       | 1.00      | 0.90      | 0.94      | 60       
7       | 1.00      | 0.98      | 0.99      | 130      
8       | 0.90      | 0.50      | 0.63      | 20       
9       | 0.99      | 0.95      | 0.97      | 730      
10      | 0.97      | 0.93      | 0.95      | 70       
11      | 0.99      | 1.00      | 1.00      | 190      
12      | 0.88      | 1.00      | 0.93      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.97      | 0.99      | 0.98      | 740      
15      | 0.97      | 0.99      | 0.98      | 410      
16      | 1.00      | 0.98      | 0.99      | 440      
17      | 0.96      | 0.93      | 0.94      | 70       
18      | 0.91      | 1.00      | 0.95      | 250      
19      | 1.00      | 1.00      | 1.00      | 40       
20      | 1.00      | 0.99      | 1.00      | 160      
21      | 0.99      | 0.95      | 0.97      | 170      
22      | 0.96      | 0.92      | 0.94      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 0.98      | 1.00      | 0.99      | 100      
